Campaign,Campaign Type,Daily Budget,Bid Strategy,Status,Ad Group,Max CPC,Ad Group Status,Keyword,Match Type,Final URL
Suraksha General Surgery - Search,Search,420,Maximize conversions,Enabled,Laparoscopic Surgery,,Enabled,laparoscopic surgeon khammam,Exact,https://drrajashekharmeda.com/lp/emergency-laparoscopic-surgery-khammam
Suraksha General Surgery - Search,Search,,,,Laparoscopic Surgery,,,general surgeon khammam,Exact,https://drrajashekharmeda.com/
Suraksha General Surgery - Search,Search,,,,Hernia Surgery,,,hernia repair khammam,Exact,https://drrajashekharmeda.com/lp/hernia-appendix-surgery-khammam
Suraksha General Surgery - Search,Search,,,,Gallbladder Surgery,,,gallbladder stone surgery khammam,Exact,https://drrajashekharmeda.com/lp/gallbladder-laser-surgery-khammam
Suraksha General Surgery - Search,Search,,,,Laser Surgery,,,varicose veins laser treatment khammam,Exact,https://drrajashekharmeda.com/lp/gallbladder-laser-surgery-khammam
Suraksha General Surgery - Search,Search,,,,Branded,,Enabled,dr rajashekhar meda,Exact,https://drrajashekharmeda.com/about
Suraksha General Surgery - Search,Search,,,,Branded,,,suraksha hospital khammam,Exact,https://drrajashekharmeda.com/facilities
